Ticket_ID,Horas,Minutos,Duracion
Cliente 1_16,16,0.13333333333333333,365.0
Cliente 2_16,16,0.45,916.0
Cliente 3_16,16,1.15,231.0
Cliente 4_16,16,1.5666666666666667,313.0
Cliente 5_16,16,1.7166666666666666,802.0
Cliente 6_16,16,2.6166666666666667,141.0
Cliente 7_16,16,3.0833333333333335,161.0
Cliente 8_16,16,3.1333333333333333,343.0
Cliente 9_16,16,4.2,55.0
Cliente 10_16,16,4.633333333333334,328.0
Cliente 11_16,16,4.85,161.0
Cliente 12_16,16,4.933333333333334,1028.0
Cliente 13_16,16,5.883333333333334,335.0
Cliente 14_16,16,6.716666666666667,1277.0
Cliente 15_16,16,7.983333333333333,132.0
Cliente 16_16,16,8.283333333333333,1329.0
Cliente 17_16,16,8.783333333333333,352.0
Cliente 18_16,16,8.8,174.0
Cliente 19_16,16,9.666666666666666,790.0
Cliente 20_16,16,9.833333333333334,746.0
Cliente 21_16,16,10.316666666666666,430.0
Cliente 22_16,16,10.8,581.0
Cliente 23_16,16,10.816666666666666,712.0
Cliente 24_16,16,11.15,3.0
Cliente 25_16,16,11.166666666666666,436.0
Cliente 26_16,16,12.616666666666667,667.0
Cliente 27_16,16,12.616666666666667,528.0
Cliente 28_16,16,12.683333333333334,386.0
Cliente 29_16,16,12.783333333333333,798.0
Cliente 30_16,16,14.083333333333334,1232.0
Cliente 31_16,16,14.5,2009.0
Cliente 32_16,16,14.583333333333334,1391.0
Cliente 33_16,16,14.75,290.0
Cliente 34_16,16,15.283333333333333,1192.0
Cliente 35_16,16,15.666666666666666,255.0
Cliente 36_16,16,16.4,315.0
Cliente 37_16,16,16.95,678.0
Cliente 38_16,16,16.95,284.0
Cliente 39_16,16,18.266666666666666,781.0
Cliente 40_16,16,18.483333333333334,1024.0
Cliente 41_16,16,18.583333333333332,249.0
Cliente 42_16,16,19.2,512.0
Cliente 43_16,16,19.75,166.0
Cliente 44_16,16,20.733333333333334,460.0
Cliente 45_16,16,21.3,508.0
Cliente 46_16,16,21.383333333333333,519.0
Cliente 47_16,16,21.883333333333333,599.0
Cliente 48_16,16,22.716666666666665,255.0
Cliente 49_16,16,22.9,256.0
Cliente 50_16,16,22.933333333333334,667.0
Cliente 51_16,16,23.466666666666665,9.0
Cliente 52_16,16,24.233333333333334,1139.0
Cliente 53_16,16,24.45,158.0
Cliente 54_16,16,24.5,95.0
Cliente 55_16,16,25.416666666666668,586.0
Cliente 56_16,16,26.766666666666666,426.0
Cliente 57_16,16,27.3,482.0
Cliente 58_16,16,28.033333333333335,564.0
Cliente 59_16,16,28.183333333333334,1324.0
Cliente 60_16,16,28.933333333333334,140.0
Cliente 61_16,16,31.183333333333334,424.0
Cliente 62_16,16,31.4,1597.0
Cliente 63_16,16,31.5,137.0
Cliente 64_16,16,31.516666666666666,521.0
Cliente 65_16,16,31.816666666666666,138.0
Cliente 66_16,16,31.883333333333333,687.0
Cliente 67_16,16,32.06666666666667,449.0
Cliente 68_16,16,32.11666666666667,410.0
Cliente 69_16,16,32.11666666666667,1207.0
Cliente 70_16,16,32.4,1276.0
Cliente 71_16,16,32.46666666666667,1851.0
Cliente 72_16,16,32.81666666666667,1355.0
Cliente 73_16,16,33.11666666666667,403.0
Cliente 74_16,16,33.516666666666666,908.0
Cliente 75_16,16,33.61666666666667,174.0
Cliente 76_16,16,35.28333333333333,483.0
Cliente 77_16,16,35.3,114.0
Cliente 78_16,16,35.81666666666667,742.0
Cliente 79_16,16,36.7,339.0
Cliente 80_16,16,37.38333333333333,550.0
Cliente 81_16,16,37.55,59.0
Cliente 82_16,16,38.81666666666667,49.0
Cliente 83_16,16,39.53333333333333,636.0
Cliente 84_16,16,40.916666666666664,287.0
Cliente 85_16,16,41.333333333333336,1030.0
Cliente 86_16,16,41.81666666666667,123.0
Cliente 87_16,16,42.93333333333333,11.0
Cliente 88_16,16,43.166666666666664,1660.0
Cliente 89_16,16,43.2,416.0
Cliente 90_16,16,43.95,1179.0
Cliente 91_16,16,45.68333333333333,1173.0
Cliente 92_16,16,48.05,318.0
Cliente 93_16,16,48.61666666666667,809.0
Cliente 94_16,16,50.15,1636.0
Cliente 95_16,16,51.3,865.0
Cliente 96_16,16,52.21666666666667,461.0
Cliente 97_16,16,52.43333333333333,300.0
Cliente 98_16,16,53.05,413.0
Cliente 99_16,16,54.483333333333334,261.0
Cliente 100_16,16,54.63333333333333,558.0
Cliente 101_16,16,55.583333333333336,1955.0
Cliente 102_16,16,55.81666666666667,825.0
Cliente 103_16,16,56.68333333333333,423.0
Cliente 104_16,16,57.11666666666667,613.0
Cliente 105_16,16,57.61666666666667,187.0
Cliente 106_16,16,58.13333333333333,531.0
Cliente 107_16,16,58.3,351.0
Cliente 108_16,16,58.333333333333336,30.0
Cliente 109_16,16,58.55,471.0
Cliente 110_16,16,58.68333333333333,1344.0
Cliente 111_16,16,58.78333333333333,514.0
Cliente 112_16,16,58.96666666666667,402.0
Cliente 113_16,16,58.983333333333334,629.0
Cliente 114_16,16,59.06666666666667,486.0
Cliente 115_16,16,59.516666666666666,326.0
Cliente 1_15,15,0.9,189.0
Cliente 2_15,15,1.2,432.0
Cliente 3_15,15,1.2333333333333334,111.0
Cliente 4_15,15,1.4833333333333334,465.0
Cliente 5_15,15,2.15,952.0
Cliente 6_15,15,3.033333333333333,258.0
Cliente 7_15,15,3.533333333333333,665.0
Cliente 8_15,15,3.566666666666667,492.0
Cliente 9_15,15,3.8,894.0
Cliente 10_15,15,4.316666666666666,734.0
Cliente 11_15,15,4.383333333333334,429.0
Cliente 12_15,15,5.55,343.0
Cliente 13_15,15,5.816666666666666,492.0
Cliente 14_15,15,7.133333333333334,490.0
Cliente 15_15,15,7.133333333333334,620.0
Cliente 16_15,15,7.45,200.0
Cliente 17_15,15,7.75,899.0
Cliente 18_15,15,8.05,210.0
Cliente 19_15,15,9.6,491.0
Cliente 20_15,15,10.25,329.0
Cliente 21_15,15,10.383333333333333,582.0
Cliente 22_15,15,10.75,780.0
Cliente 23_15,15,11.083333333333334,169.0
Cliente 24_15,15,11.1,232.0
Cliente 25_15,15,11.45,344.0
Cliente 26_15,15,11.483333333333333,417.0
Cliente 27_15,15,11.6,467.0
Cliente 28_15,15,13.266666666666667,279.0
Cliente 29_15,15,13.45,925.0
Cliente 30_15,15,15.8,394.0
Cliente 31_15,15,15.933333333333334,381.0
Cliente 32_15,15,16.05,1178.0
Cliente 33_15,15,16.066666666666666,1149.0
Cliente 34_15,15,16.533333333333335,695.0
Cliente 35_15,15,16.583333333333332,695.0
Cliente 36_15,15,16.666666666666668,535.0
Cliente 37_15,15,16.833333333333332,479.0
Cliente 38_15,15,17.9,167.0
Cliente 39_15,15,18.083333333333332,177.0
Cliente 40_15,15,18.233333333333334,208.0
Cliente 41_15,15,18.5,340.0
Cliente 42_15,15,18.816666666666666,155.0
Cliente 43_15,15,19.166666666666668,157.0
Cliente 44_15,15,19.183333333333334,582.0
Cliente 45_15,15,19.35,1092.0
Cliente 46_15,15,20.15,195.0
Cliente 47_15,15,20.483333333333334,353.0
Cliente 48_15,15,21.0,1615.0
Cliente 49_15,15,21.35,1289.0
Cliente 50_15,15,21.7,530.0
Cliente 51_15,15,22.733333333333334,1737.0
Cliente 52_15,15,22.983333333333334,932.0
Cliente 53_15,15,23.166666666666668,440.0
Cliente 54_15,15,24.033333333333335,373.0
Cliente 55_15,15,25.483333333333334,561.0
Cliente 56_15,15,25.5,599.0
Cliente 57_15,15,25.866666666666667,255.0
Cliente 58_15,15,26.95,671.0
Cliente 59_15,15,27.4,80.0
Cliente 60_15,15,27.45,371.0
Cliente 61_15,15,27.983333333333334,303.0
Cliente 62_15,15,28.25,555.0
Cliente 63_15,15,29.483333333333334,213.0
Cliente 64_15,15,29.566666666666666,749.0
Cliente 65_15,15,29.983333333333334,367.0
Cliente 66_15,15,30.55,664.0
Cliente 67_15,15,31.116666666666667,233.0
Cliente 68_15,15,31.15,156.0
Cliente 69_15,15,31.883333333333333,354.0
Cliente 70_15,15,32.3,962.0
Cliente 71_15,15,32.88333333333333,802.0
Cliente 72_15,15,34.65,616.0
Cliente 73_15,15,34.9,139.0
Cliente 74_15,15,35.266666666666666,532.0
Cliente 75_15,15,36.1,168.0
Cliente 76_15,15,36.25,375.0
Cliente 77_15,15,36.45,1080.0
Cliente 78_15,15,36.983333333333334,648.0
Cliente 79_15,15,36.983333333333334,282.0
Cliente 80_15,15,37.86666666666667,482.0
Cliente 81_15,15,38.766666666666666,166.0
Cliente 82_15,15,38.86666666666667,752.0
Cliente 83_15,15,39.2,154.0
Cliente 84_15,15,39.45,1191.0
Cliente 85_15,15,39.833333333333336,1047.0
Cliente 86_15,15,40.03333333333333,1104.0
Cliente 87_15,15,40.983333333333334,364.0
Cliente 88_15,15,41.13333333333333,102.0
Cliente 89_15,15,41.516666666666666,178.0
Cliente 90_15,15,41.65,964.0
Cliente 91_15,15,41.68333333333333,758.0
Cliente 92_15,15,41.96666666666667,354.0
Cliente 93_15,15,43.083333333333336,1017.0
Cliente 94_15,15,44.166666666666664,479.0
Cliente 95_15,15,44.43333333333333,53.0
Cliente 96_15,15,44.56666666666667,203.0
Cliente 97_15,15,44.666666666666664,813.0
Cliente 98_15,15,44.81666666666667,1140.0
Cliente 99_15,15,44.93333333333333,620.0
Cliente 100_15,15,45.85,779.0
Cliente 101_15,15,46.18333333333333,248.0
Cliente 102_15,15,46.233333333333334,842.0
Cliente 103_15,15,46.61666666666667,645.0
Cliente 104_15,15,47.2,622.0
Cliente 105_15,15,47.65,686.0
Cliente 106_15,15,47.9,607.0
Cliente 107_15,15,48.416666666666664,770.0
Cliente 108_15,15,49.06666666666667,197.0
Cliente 109_15,15,49.21666666666667,403.0
Cliente 110_15,15,49.56666666666667,220.0
Cliente 111_15,15,49.81666666666667,108.0
Cliente 112_15,15,50.016666666666666,542.0
Cliente 113_15,15,50.18333333333333,861.0
Cliente 114_15,15,50.416666666666664,499.0
Cliente 115_15,15,50.61666666666667,1021.0
Cliente 116_15,15,51.55,454.0
Cliente 117_15,15,51.78333333333333,222.0
Cliente 118_15,15,52.45,286.0
Cliente 119_15,15,52.68333333333333,158.0
Cliente 120_15,15,53.8,146.0
Cliente 121_15,15,53.8,116.0
Cliente 122_15,15,53.93333333333333,497.0
Cliente 123_15,15,54.083333333333336,263.0
Cliente 124_15,15,54.1,680.0
Cliente 125_15,15,54.13333333333333,436.0
Cliente 126_15,15,54.5,189.0
Cliente 127_15,15,54.7,95.0
Cliente 128_15,15,54.9,490.0
Cliente 129_15,15,55.28333333333333,211.0
Cliente 130_15,15,55.53333333333333,684.0
Cliente 131_15,15,55.583333333333336,1197.0
Cliente 132_15,15,55.8,765.0
Cliente 133_15,15,56.88333333333333,995.0
Cliente 134_15,15,57.3,411.0
Cliente 135_15,15,57.666666666666664,941.0
Cliente 136_15,15,58.03333333333333,545.0
Cliente 137_15,15,58.55,772.0
Cliente 138_15,15,58.78333333333333,473.0
Cliente 139_15,15,59.0,226.0
Cliente 140_15,15,59.43333333333333,340.0
